names,values_a,values_b
Dr. Derl Gulgowski I,7811,1074
Dr. Wright Leannon,6057,6313
Frank Fahey,422,6274
Blair Effertz,4429,6259
Alwin Shields,3751,7937
Buddy Rutherford,1376,5530
Drucilla Raynor,2864,4455
Ezzard Turner,1639,3792
Jaeden Wehner-Leffler,2162,5685
Magdalena Goyette,2872,2378
Christie Schuster,5941,3410
Delila Bashirian,1803,6056
Chandra Reichel-Schultz,1129,3559
Tahj Cronin,5328,9709
Deforest Gaylord,8558,3082
Khalid Schaden,6786,4826
Dr. Shirleyann McCullough DVM,8889,8393
Barbara Schultz,1602,1526
Rudolf Jaskolski,3815,7676
Charissa Leffler,940,8024
Enrico Mante,4813,4301
Wade Mueller,3678,6611
Denny O'Keefe,5465,3630
Hollie Schroeder,3069,2317
Ms. Earlie Brown DDS,1837,2554
Tabatha Gutmann,6344,2839
Brandi Ziemann,9904,8351
Dr. Alexys Ritchie,5382,9090
Elizah Ebert,6605,1374
Ms. Billie Corkery DDS,4929,136
Miss Bertina Rowe PhD,6771,9562
Martell Ward,6057,3883
Luann Batz,5229,7767
Ashton Jacobs,2560,8802
Mr. Joeseph Shields V,7140,8706
Thurston Rolfson,7511,3648
Mr. Hermon Romaguera,7191,4465
Dr. Elliana Schumm PhD,7624,338
Machelle Kihn,6870,2610
Toriano Balistreri,3218,5749
Stacy Turner,4999,1446
Dr. Breanna Strosin DVM,8927,7719
Carter Corwin,1490,6074
Mr. Orlando Parisian,7733,9748
Olivia Barton-Marks,183,5141
Mr. Desi Hudson,2865,325
Brigette Kessler-Bruen,9000,3087
Lovett Jacobs,619,338
Dr. Ples Eichmann,1462,8276
Lugenia Beatty,5637,3975
Alwine Schoen,1894,6039
Orange Simonis-Heller,1487,1843
Jadyn Mann,9855,6756
Ms. Earlean Lindgren DDS,9925,3514
Rosey Ruecker-Haag,5404,457
Ean Hansen,2854,2906
Cathrine Zemlak,7171,6238
Olga Friesen,125,8708
Christine Monahan,5811,3685
Alferd Orn V,6260,3352
Dr. Knute Runolfsdottir V,1465,2916
Dr. Brycen Johnson,5437,6892
Gerry Gaylord,142,2498
Cheri Deckow,244,100
Dennie Stoltenberg,1799,3747
Mr. Marion Mertz,8638,6115
Ana Keebler-Kuhn,1746,3575
Elwood Runte,4376,76
Marsh Wuckert,8496,8295
Jemima Goodwin,6017,4658
Haley Kertzmann DDS,442,9111
Ishmael Cummings III,9079,1525
Manley Hoeger,111,8899
Mr. Kamryn Boyle DVM,9105,2649
Jade Spinka,9837,6597
Dr. Williams Heller Sr.,7753,5739
Suzann Wiza-Hilpert,6053,9977
Jarret Koepp,4007,1182
Ira Sanford,6491,413
Obed Borer,9791,160
Landyn Thiel-Mosciski,417,7089
Claudie Roberts,6849,5765
Kristian Baumbach,8605,860
Mr. Lindbergh Stokes,4321,7095
Colleen Huel DVM,7678,7989
Mr. Wayde Barrows I,7215,4625
Aiden Greenfelder,1832,5022
Miss Joanna McDermott,2965,2829
Mr. Hillard Wilkinson DVM,4167,1686
Kandy Hermiston-Krajcik,3288,8462
Orvel Hahn III,1789,615
Germaine Jaskolski,2919,9973
Mr. Rae Terry IV,2008,6905
Miss Olivia Conroy MD,2668,6423
Tasha Collier,5323,1045
Mrs. Elois Runolfsson DVM,7307,6299
Huey Torphy,2836,148
Yoselin Reilly MD,4508,904
Byrd Dare,3729,8361
Tarik Boyle,915,1409
Liz Parisian,5041,195
Arra Baumbach-Walter,5847,96
Iverson Orn DVM,4512,1512
Shaniya Collins,1160,3364
Daja Graham,996,4260
Sheridan Schowalter I,2552,8872
Mordechai Crooks V,1280,7349
Dr. Park Lowe,9912,5616
Luka Marquardt,6601,9713
Aditya Roberts,132,8223
Ms. Eleonora Torp MD,6976,8501
Dr. Alexande Strosin Jr.,5687,576
Ethelyn Walter,9095,5400
Adalyn Dickens DDS,3269,7634
Lorenza Satterfield,7897,4252
Vernell Ullrich,785,1731
Lora Wyman III,9324,368
Latanya Rempel-King,3000,8071
Porsha Zulauf MD,6200,1307
Mr. Jasen Tillman,9571,5536
Hildegarde Stracke,9946,546
Dr. Luca Crooks,4252,85
Corina Volkman,5453,5884
Romeo Boyle Jr.,9686,2840
Erie Simonis,7146,3725
Ms. Kameron Smitham,1631,6112
Caesar Corkery-Nader,1212,3058
Wilford Feest-Nienow,7297,7335
Callum Nikolaus,4591,9974
Ingrid Hermann,7394,6813
Colon Kohler II,4263,2232
Evert Stiedemann,5445,2054
Harper Von,8797,8390
Miss Lee Schultz MD,5189,8405
Kassandra Willms,5154,9846
Mayra Schulist,1362,4473
Torry Dickens,4117,8636
Keyshawn Lehner,5425,5600
Najee Cummerata,3843,9196
Dr. Larry Goodwin,9260,5645
Patric Bashirian-McCullough,8165,3370
Ah Cronin,705,8297
Armin Kozey,1696,1167
Myrl Schmidt,4764,5087
Oliver Baumbach Jr.,4243,7215
Jamar Gulgowski,9787,2230
Stormy Schaden,6878,6465
Jere Dietrich,6325,7036
Miss Venita Hessel,4116,3341
Mr. Florencio Kling Sr.,1692,2063
Miss Brooklyn Upton DVM,6355,5265
Leatrice DuBuque,7116,8408
Miss Madeline Grady,1680,8378
Soren Gorczany,5945,1932
Dr. Kennth Berge MD,4,5480
Ms. Marry Beatty,8774,3442
Dr. Gonzalo Nitzsche V,5970,967
Donal Brakus,2840,8150
Alyssia Hayes,9568,13
Miss Jaunita McDermott PhD,442,7708
Sarai Roberts,6490,3692
Mr. Gasper Green,6095,6430
Kamya Runolfsson,8793,1502
Breanne Grimes,3274,7669
Emmett Gerhold,5605,2634
Tinie Terry,5178,6024
Trey Hodkiewicz,8734,3989
Josh Reilly,7341,9543
Carlee Nolan,1598,3674
Mrs. Savanna Bartoletti DDS,787,7844
Allyn Hilpert PhD,3385,7195
Richelle Stiedemann,8267,2924
Campbell Schmeler,7465,5397
Mr. Kendell Kuphal IV,2622,6104
Miss Fallon Smitham,1802,7736
Jadon Funk,3695,1241
Albertine Herzog,3185,3848
Edna Conn DVM,2741,578
Hoy Boyer,1259,2730
Wong Thiel,8942,3485
Denver Pfeffer,3621,5983
Darin Reinger,6629,224
Bridger Gaylord,5020,8279
Jaylah Labadie MD,7881,8308
Jaslyn Koch MD,3745,9313
Theodosia Reinger,1798,8545
Mrs. Debroah Murazik PhD,6823,1550
Seward Kreiger,8290,7718
Tyrel Schaefer,6513,4038
Dr. Maxwell Hahn MD,8108,9738
Thaddeus Raynor,3025,6170
Ruthann Eichmann,3761,9791
Jasiah O'Reilly,8152,3185
Cari Gleason,9042,408
Carisa Lebsack-Block,7504,41
Ms. Hayden Larkin DVM,2926,6301
Dr. Neola Rosenbaum PhD,5096,2936
Brogan Schimmel,5056,6260
Hall Labadie,5617,9817
Ms. Dakota Sawayn,4034,908
Quiana Will,2022,6482
Marta Mraz,5678,8660
Dr. Bennett Schimmel,8823,4051
Kelcie Langworth,5936,4564
Dr. Jana Mann,1297,1878
Anie Schuppe,6489,3022
Alvis Senger,5317,928
Jermey Shanahan,1994,2596
Ardeth Block-Skiles,938,7637
Mr. Elwyn Wiza,5269,2629
Moody Mills,7217,1127
Emiliano Runolfsson,3005,4241
Miss Karen Shanahan,1112,8761
Mr. Giovani Halvorson,4052,2217
Titus Emard-Schaden,1366,5449
Christiana Oberbrunner-McClure,8982,8878
Mr. Jerald Batz,5091,9081
Mr. Loren Powlowski,562,8584
Brynn Beahan-Quitzon,7476,847
Jarrell Bahringer,608,5799
Loyal Wilkinson DVM,3402,6934
Mauro Doyle,5762,4133
Nyree Bergnaum PhD,8387,7823
Casey Ullrich,8910,2089
Ardelle Bogisich,7207,9435
Yetta Grady-Zieme,5628,9325
Jabari Altenwerth-Monahan,7971,5474
Miss Shawnna Grant DDS,2117,5238
Dr. Erlinda Gottlieb PhD,4651,2205
Chanda Reichert,7608,5043
Osie Prohaska,1886,4894
Candyce McLaughlin-D'Amore,2235,3126
Pearl Brakus,5029,1746
Kennth Koch,128,9228
Cody Hodkiewicz,1611,421
Nicholas Hilll,4368,7000
Miss Katharina Konopelski,5439,8191
Carry Bogan-Leuschke,3544,9183
Edythe Hills,29,7510
Charles Macejkovic,7666,2572
Agness Sipes,4392,3455
Tomasa Okuneva,6453,958
Mr. Ellsworth Langosh IV,7235,3054
Lafayette Raynor,960,7757
Harvie Hilll,5792,7883
Codie Volkman,578,5958
Dr. Burnell Kovacek,3431,4688
Beecher Dickens,6791,6248
Ms. Kenzie Rath MD,4499,7286
Dr. Math Mills,5194,7860
Noah Runte-Kulas,5634,6127
Mathews Sporer,8526,547
Tripp Wehner,8612,5293
Josefita Purdy,6646,6500
Mitch Boyer,3181,2791
Mrs. Bena Hand DDS,1221,4038
Richie Quigley,5207,9832
Deann Kohler,4020,2659
Hoy Hammes,5227,2075
Dr. Haylie Dietrich,1390,8926
Shanta Prosacco,1101,9209
Mrs. Mannie Strosin,8845,412
Chaya Goyette DVM,7308,6016
Ruffus Heller,8998,1086
Roxie Kohler-Brakus,8962,5922
Maximo Lockman,5533,5677
Ardith Armstrong,7025,410
Dr. Gurney Maggio I,9111,9316
Dr. Shiloh O'Hara,4302,1784
Louie Bahringer,3201,7021
Dionte Jones-Collins,372,9348
Carlene Dooley DDS,5622,1081
Artie Shanahan,2611,9558
Mrs. Britny Borer DDS,3620,3194
Bertrand Bashirian IV,4455,5977
Miss Bethann Abernathy PhD,8153,2722
Giuliana Hegmann-Hessel,9649,8465
Elsie Reichel,2172,3498
Damion Farrell,3794,4968
Gabe Kilback-Gerlach,5592,3094
Mr. Gustav Abernathy I,9745,3177
Irvine Kshlerin III,1970,4738
Tiara Oberbrunner,1886,7649
Gage Waelchi,6609,7128
Giuseppe Deckow DDS,5672,9638
Nohely Connelly DDS,150,5570
Mr. Yee Abshire,5573,8718
Olive Schiller-Beier,5552,2071
Warren Heathcote,9529,8728
Aliya Steuber,6131,5139
Cleda Beier,6669,4631
Bryce Armstrong,6681,2688
Christian Wiegand,6308,5830
Tate Mills V,3622,1013
Mrs. Adela Hauck,4385,5632
Jase Murray-Bernier,2232,9870
Jerrell Wiegand,8099,7218
Dr. Verl Lemke,4776,1077
Crissie Kreiger,5563,6970
Latoria Hermiston DVM,1308,5478
Toni Fadel,3607,9132
Flor Reichert,7672,6804
Sina Welch,881,9721
Michelle Wunsch,46,3453
Mr. Merlin Schmidt,9359,8227
Theodis Kuphal,5908,2599
Kathrine Osinski MD,2442,7568
Kristen Predovic,2992,9651
Sincere Leannon,9383,59
Bethany Zemlak,4046,8743
Mr. Colvin Barton V,2680,3236
Brittaney Friesen,5313,5721
Hildegard Kuphal,6583,727
Ronaldo Ebert,7838,8102
Mrs. Sherron Klein DVM,1173,7313
Dr. Canyon Gutmann II,5838,8844
Elyse Balistreri,2462,8343
Kaylene Skiles,2523,9089
Saige Blick-Schimmel,7521,7819
Izayah Koss III,3148,344
Phillip Lynch,4487,3053
Donia Klein,6794,2230
Obie Jast,8495,1131
Dr. Hayes White III,1228,3730
Regan Torp-Fritsch,2379,7969
Lacey Glover,4054,1497
Clare Eichmann,2375,5452
Jefferson Lakin,1199,8959
Alivia Okuneva,2447,5011
Aurore Smitham,9935,8913
Aloysius Kilback,1217,4021
Nallely Kihn MD,7331,9076
Montana Erdman,8150,3112
Billye Robel-Armstrong,5079,8502
Miss Socorro Rippin DDS,8425,4139
Karson Dooley,2069,6313
Shannan Hoppe,2938,2937
Palma Jacobson,8408,6382
Kenyatta Erdman,3704,9715
Ivey Marquardt,7231,9462
Sammie Stiedemann DVM,3119,4127
Dwain Grant III,6095,4361
Ms. Berdie Hilpert DVM,628,1606
Odell Shanahan Sr.,7773,6159
Jeremie Schmeler,3108,4162
Arlie Wisoky,1258,7936
Dr. Lorenzo Wiegand DVM,453,6656
Hillary O'Keefe,2784,9354
North Jenkins Sr.,1032,4854
Christiana Ritchie,8715,7172
Dr. Rishi Farrell,1821,2938
Emmett Kreiger,6657,8063
Pamala Fisher,7320,8937
Lane Willms DVM,3285,6308
Tiera Eichmann,2300,2157
Georgetta Grimes-Dach,385,7071
Stevie Nader Sr.,2372,2798
Jim Wunsch,9626,4712
Raheem Batz,6721,1567
Mrs. Shaylee Konopelski MD,510,2888
Tanner Hartmann,1121,2831
Mariah Deckow,7214,3650
Paulo Sauer-Renner,7412,6257
Talmadge Dicki,8826,5394
Joseph Kuhn-Sanford,2349,9257
Cinnamon Conroy DVM,1466,2614
Killian Vandervort,6435,6653
Virgie Hamill,1569,6142
Wells Moen,3951,4876
Dawna Waelchi,5711,3601
Yancy Hayes,127,3861
Earley McKenzie,6921,488
Evander Jerde,5760,6239
Vernell Luettgen,8501,8475
Demarcus O'Connell-Feil,4392,7126
Kordell Reichert,8224,3387
Willow Rosenbaum,4002,3513
Kayden Marks,913,1910
Casimer Kulas,58,1843
Floy Zboncak,600,7543
Halle McDermott,6890,1373
Brogan Trantow,8344,8839
Savana Schmeler MD,6209,2694
Ms. Dana Dietrich,823,9540
Dannie Dietrich,1104,12
Darell Block,3133,45
Benji Conn-Simonis,2580,14
Jolene Towne,150,8937
Kingston Bogan,6547,6177
Dionicio Koelpin-Schoen,7957,9328
Ms. Lue Dietrich PhD,365,5077
Makaila Lang,348,7714
Mr. Mae Hand I,7196,5801
Mr. Lora Hessel I,2976,3184
Miss Bula Swift,4743,1500
Dr. Jeraldine Pacocha,7968,3585
Johanna Wilkinson-Rutherford,7940,725
Lemon Skiles,1473,2260
Devyn Zemlak I,7527,2875
Pierce Lueilwitz,3339,3612
Mr. Freddie Zboncak,5993,1319
Kraig Daniel,5144,7870
Skyler Herzog,2359,3706
Aleah Flatley,3031,1425
Reese Champlin PhD,6570,1279
Brendon Johnston,5476,2390
Demarcus Kuphal,2062,9250
Mitchell Williamson,8943,8959
Miss Laney Barton,2364,3442
Cannie Walter,3365,3527
Ruthie Sanford-Yundt,5996,6704
Evon Harvey,8071,4630
Becky McLaughlin,8165,9616
Ms. Keli Cole DDS,6706,7867
Victoria Welch-Harris,6684,6903
Cleda Terry-Roob,983,7851
Pate Rippin,989,1770
Roberta Mitchell,6690,4899
Bobby Mueller DVM,5133,8024
Dr. Dereck Grimes,7072,2696
Hortense Tillman,8028,2308
Dr. Jasmyn Stanton PhD,3157,8372
Dr. Bryson Zemlak MD,8000,9338
Dr. Jamison Hilpert,6374,3680
Arleen Altenwerth,1719,441
Mr. Chris Will,8020,9429
Abbey Koss DDS,6958,9632
Dr. Shanell Quitzon PhD,8518,6321
Jaron Weimann,1686,8492
Clarance Balistreri,8342,8335
Arvin Littel,9544,7891
Trilby Hills MD,7147,5515
Ms. Ardelia Bayer DDS,6989,5292
Isom Volkman,3873,4707
Gillian Cummings,6943,2717
Leonora Spencer,4867,2341
Marcela Rempel DDS,7362,4959
Erwin O'Kon,4686,9512
Kimberlee VonRueden,5142,3341
Christian Will DVM,2987,5234
Melvina Ernser,7053,5103
Darline Abshire-Abshire,4362,7753
Jaylin Monahan PhD,75,6419
Bob Lemke,5671,674
Ora Brown,8501,4598
Mr. Kevon Tromp Jr.,2821,2613
Genie Konopelski,5294,7371
Rey Lebsack,9712,5557
Cleo Wolff-Gulgowski,5118,8093
Dr. Shan Wilderman I,9561,4711
Dr. Sheridan Heller I,3675,8134
Rosia Abbott,8637,6377
Miss Ieshia Konopelski MD,5060,6433
Dr. Ulises Haag Sr.,967,5624
Jasmin Crist-Glover,8488,5799
Amey Glover,4479,5080
Ever Huel-Cartwright,1415,7710
Martina Langosh,2563,4446
Greg Kautzer,2704,8654
Doctor Schulist,3482,9750
Dr. Dovie Hermiston,7588,8774
Mrs. Bebe Bruen PhD,9257,6978
Franz Hintz,1178,4726
Iris Jacobi,3562,6605
Merlene Walsh,745,1578
Miss Carlota Shields PhD,6245,7914
Bulah Keebler,7048,8129
Diamond Heidenreich DVM,7770,5537
Dr. Jon Hilll II,9553,1979
Dr. Jamil Kuvalis,8856,8859
Allisson Bechtelar,6922,1882
Melissa Lebsack,5140,2453
Giles Strosin-Trantow,6845,8935
Mr. Kory Oberbrunner PhD,639,289
Tyshawn Bernier,5481,546
Halsey Cole,3696,6539
Shirley Hoeger,2177,499
Julianna Prohaska-Hauck,6291,3212
Declan Frami,3796,1548
Eliseo Willms,8220,3605
Ms. Addisyn Langosh,532,2577
Jody Davis,9397,6144
Kamari O'Conner,2090,4825
Dr. Curtiss Fritsch DDS,9697,4712
Rosalind Muller DDS,8919,2042
Dr. Cleve Ruecker PhD,6535,6339
Crete Lindgren,2454,9050
Arlyne Purdy,7485,2188
Cruz Gaylord,7402,9995
Daryn Krajcik,5329,5962
Jones Sanford-Hermiston,8145,8784
Candyce Lynch,2484,2086
Jacoby Willms,8146,7779
Edmund Douglas,179,1352
Jerica Maggio,6679,6239
Pierre Rempel DDS,3118,8865
Orlin Block,152,3843
Maria Lesch,9736,8469
Belva Stiedemann,5600,9426
Miss Tracie Cormier MD,2655,4320
Deondre Watsica,4627,116
Ivory Lang,785,949
Odin Mosciski,5031,1034
Dr. Clem Bartoletti Sr.,2619,7593
Coletta Schuppe MD,4193,2932
Yancy Hoeger,3404,4227
Hayward Berge,8620,1446
Ms. Dessa Hegmann,6493,9006
Michelina Ward,5538,5771
Dr. Irving Lind,8526,7122
Dr. Orlin Doyle,1285,8896
Ena Mraz,2436,4630
Malissa Hills-O'Reilly,456,6093
Ms. Yulisa Parker,5676,8080
Roderick Nicolas,3754,5938
Syble Kemmer,6325,2095
Delaney Haag,7256,6475
Beatrice McGlynn,7630,526
Jonatan Stiedemann,3709,6369
Jimena Kerluke,6586,4030
Mrs. Jessi Schaden,8657,2717
Floretta Lakin-Auer,7077,9099
Sharonda Kunze,9662,7231
Shayne Metz Sr.,7345,7023
Alvina Legros PhD,9650,2576
Dr. Laurie Legros,6874,2957
Raelynn Ortiz PhD,6206,8485
Amiah Schaefer,5161,278
Patsy Ledner,5983,6824
Jaleel Heathcote,1666,7228
Serina Stamm-Larkin,6884,8529
Mr. Brittany McLaughlin,475,1844
Dr. Montgomery Leffler,6796,4968
Sannie Rutherford,7569,5368
Reagan Turner,7017,63
Council Walker I,7030,7937
Destry Hartmann,3140,7999
Dr. Martin Dooley,6816,13
Calla McDermott,6097,9057
Tamika Howell-Bauch,5284,6195
Octa Christiansen DDS,8716,4037
Mikala Spinka-Bechtelar,3637,8352
Lafayette Schmidt,1586,3220
Elick Volkman,7442,962
Rosann Kuphal,5664,6120
Hartley Reinger-Wintheiser,8746,8934
Mrs. Byrdie Abernathy,6933,6423
Virgil Mitchell-Durgan,7146,6562
Makai Littel,9135,6517
Alene Kuhlman,6690,9151
Keandre Jaskolski,6790,2242
Kwame Bahringer,539,1104
Dr. Alphons Moore MD,8806,9760
Bina Kihn,827,3507
Hartley Schaefer,6391,2847
Rhiannon Green MD,4412,7648
Mr. Mae Konopelski,1163,9475
Carey Bogisich V,5632,8903
Bertie Von-Kuvalis,160,9601
Lennon Stark,6210,7246
Donte Zboncak,4488,7700
Carmel Wyman,4039,5348
Alisson Quigley,5569,9406
Will Ferry-Hettinger,4712,4354
Dr. Harrold Hettinger,2032,6170
Hazen Dare,7941,1715
Dr. Anatole Morar DDS,6139,7105
Mrs. Myla Bartell,8769,7605
Kiarra Ferry,4298,7250
Ms. Otelia Becker,171,561
Joni Green,2719,6597
Isamar Hahn-Corwin,9141,8469
Dr. Casen Kutch,3018,4520
Elodie Upton,5529,3827
Mr. Clive Thompson,243,9107
Ms. Wilhelmine Kovacek DVM,6332,4068
Remy Haley,7092,3239
Cory Mann,3926,5248
Mrs. Davina Greenholt DDS,7251,9813
Mr. Garrison Towne,8975,4865
Jasmin Mann,6596,5802
Hjalmer Fahey,6839,9201
Dr. Edie Weissnat,3705,9310
Lovie Langworth,4120,6961
Patricia Koelpin,920,7626
Reta Blanda,6253,9986
Arden Doyle,2629,7024
Ms. Nakita Stanton,7523,7
Rozanne Gutkowski,9678,8163
Tevin McGlynn II,3424,5229
Scott Ferry,4664,2813
Powell Hane,9736,3099
Mrs. Hope Price,529,7354
Darron Cormier,6701,868
Kanye Beahan,2972,1068
Nolie Hand DVM,9379,6358
Nickolas Abernathy,7363,6834
Jabbar Beer-Champlin,4846,4550
Webster Spencer,2365,5576
Dr. Paris Schoen MD,9797,6684
Conrad Runolfsdottir,5734,9180
Grove Bailey,1320,6236
Chessie Herzog PhD,6824,6699
Dr. Aubra Wilderman,5972,5195
Zenas Farrell,1304,8259
Elonzo Kub MD,3762,7468
Rowland Greenholt-Schroeder,9456,5095
Sharita Funk,2457,7885
Boss Bartell,8184,3964
Major Kuphal-Terry,4217,243
Mr. Manly Jacobs,5807,7448
Mr. Gabriel Bashirian,3301,4002
Ms. Devan Crist,7511,2688
Ms. Lula Jakubowski,7583,2574
Daquan Wunsch,9355,620
Myra Heaney,9797,6122
Kate Bernier-Douglas,1330,6792
Martez Schaden,4527,4669
Murphy Green-Schinner,9018,5196
Webster Johnston,6121,7110
Ocie Bartoletti,1841,7240
Mills Senger I,2281,5802
Beula Treutel,9791,8957
Lisbeth Sawayn,2631,5434
Dominque Glover,1712,1067
Lige Dibbert,3334,3742
Larue Lebsack,7999,2720
Sondra O'Hara,5999,8464
Oralia Hodkiewicz,2378,4681
Dr. Eston Rolfson,6956,7760
Dr. Emmett Zulauf,1143,2613
Mr. Tyreek Kuhic DDS,5669,2291
Merrill Gutkowski,9093,9452
Celia Cole,5090,4569
Caro Hilll DVM,4599,4350
Shane Hayes,8628,1408
Ms. Shelba O'Connell DDS,6693,2813
Donavon Wintheiser,854,7436
Miss Chelsea Hirthe PhD,1633,2960
Miss Audriana Beer,2053,7560
Blane Crist-Torphy,6017,6399
Dr. Zona Miller,4085,5827
Larue Hickle,919,2223
Earnestine Fisher,9344,3641
Marlene VonRueden,4821,7116
Rae Terry,3308,9091
Tayler Nolan-Carter,5653,2915
Dewitt Smitham,9536,6055
Joesph Hirthe,6650,2711
Fitzgerald Veum-Dooley,5432,4761
Terence Moore,7856,5232
Deborah Kemmer,3144,9256
Tayler Heller,3625,9925
Vikki Ward,6805,9545
Damari Little III,4625,4942
Dr. Sebastian Hettinger,3566,3709
Kirby Kilback-Pacocha,7703,2772
Dr. Jacqulyn Blanda,743,8471
Unnamed Mohr,69,6612
Edla Wyman-Jast,4763,5535
Cicero Leannon,3698,9336
Mrs. Cathy Kozey,2103,4489
Boysie Boehm,7833,8573
Ola Harris,3853,3795
Lorenzo Casper,9557,2560
Miss Bethzy Grady DVM,78,5794
Anjelica Greenholt,8931,7979
Jep Kub,1960,7696
Narcissus Deckow,5315,8581
Haylie Crooks,8989,4918
Alisha Kuhic,751,2114
Gino Goodwin,8774,1011
Khadijah Lemke,7869,8559
Gorden Spencer,7573,4695
Paula Watsica,4060,4363
Mr. Gay Wintheiser Sr.,4847,6226
Ivie Baumbach,8435,1633
Mrs. Hadassah Hoeger,4,9270
Edgar Beatty,9501,198
Hayden Hoeger,9141,6580
Pamelia Champlin,9913,907
Ms. Shellie Denesik,6419,6354
Dr. Dayna Cremin PhD,6267,1776
Khloe Boyle,853,6321
Kalyn Johns-Auer,2843,4728
Tara Willms,3993,9247
Mrs. Melony Rice,7946,1581
Miss Margene Dare DVM,9868,4336
Lynda Breitenberg DVM,4743,8603
Nim Roob,4831,2770
Elgin Murazik,7828,123
Tyreke Powlowski-Schmidt,2272,5848
Keifer Kirlin-Beahan,9886,7743
Tracy Franecki,6162,7925
Lorenza Schiller,4117,3985
Nyla Crist PhD,583,5729
Lyle Morar-Daniel,5746,1821
Miss Mira Bins,8486,8607
Mr. Herb Goodwin,6421,2097
Dock Stehr,3561,4036
Almus Hodkiewicz,4535,6757
Phillip Jones,9512,4233
Connie Murazik,4102,4413
Adolphus Spencer,7937,2079
Rosetta Hegmann,2174,1211
Donal Nikolaus,7255,1153
Mrs. Ruthie Boyle DDS,254,311
Sherrill Kertzmann,9911,4815
Mrs. Shardae Parisian,297,7891
Chesley Rutherford,7193,3803
Mr. Yahir Kerluke II,833,3633
Dr. Kelley Fadel,9721,7683
Gaige Abbott,5627,3314
Fitzgerald Kutch,3852,4110
Wayland Dietrich,5429,490
Jeff Medhurst DDS,4086,1073
Shelbi Effertz,4662,4136
Crystal Robel,2924,5866
Miss Katelyn Thiel,6284,4307
Savannah Olson,2924,9577
Izayah Skiles MD,1925,8180
Jossie Walker PhD,7060,9015
Arden Cummings,2265,4559
Mr. Emil Tillman,5567,9346
Dr. Yandel Weissnat Jr.,617,1160
Selah Mitchell,7243,3497
Hallie Gibson-Frami,819,1170
Barnett Zulauf PhD,9221,9680
Wheeler Hackett,7381,6444
Celie Corkery,1552,5608
Jermain Collier,2982,395
Sallie Strosin DDS,892,5195
Derrell Collins,5768,4720
Gilman Cummings,3893,5677
Ms. Jessi Boehm DVM,3150,73
Geri Larson,7292,3762
Lacie Howe,9273,4590
Kenna Bernier,9402,786
Dr. Harvie Effertz,9216,1195
Keshia Runolfsson,9785,586
Mr. Devonte Cartwright,6557,7596
Gaither Mann,3768,1391
Kourtney Bednar,1205,3125
Lavar Harvey,4825,495
Curt Heller,4688,8215
Paul Hirthe-Waelchi,2007,3699
Teri Simonis,6449,1337
Dr. Nery Erdman,820,2874
Colie Mraz,6418,904
Aliya Weimann,6977,3999
Mr. Gunnar Frami PhD,4561,2583
Tyron Auer,287,6336
Jeremie Nienow Jr.,2801,6603
Brodie Jaskolski MD,1395,6150
Lakeisha Koelpin,2479,759
Jovanni Zemlak,7546,6929
Solon Smitham,8862,3802
Mrs. Signe Reilly,4854,3831
Mr. Winthrop Sawayn I,3454,9764
Ms. Tambra Paucek DVM,693,444
Frida Hand,9619,6796
Ridge Heathcote,4245,7231
Nikhil Bernhard-Hermann,7173,1050
Kyleigh Hickle,309,5094
Miss Jensen Lebsack,6846,7363
Virgie Treutel,7154,4199
Mr. Terrill Boyer PhD,8974,882
Virgel Hudson-Shanahan,1417,5191
Dr. Hughey Corkery I,9803,6605
Juli Gutkowski,6298,1010
Cade Lakin,6389,4929
Sofia Mertz PhD,8436,7652
Don O'Conner,6949,1134
Ms. Kelly Kautzer,5391,8378
Arden Durgan,6001,5690
Dove Mraz DVM,2988,5423
Anton Corwin,7123,6664
Jadiel Marquardt-Homenick,755,4854
Ms. Bina Hilll PhD,9712,1938
Lesley Heller,7138,6917
Gerry Kutch,6566,8352
Ian Cruickshank,309,8451
Orlena Schimmel,3825,5374
Demetria Smitham,6689,8203
Jenifer Thiel MD,5145,671
Elige Beer,4190,9455
Carter Senger,8550,7283
Elroy Labadie-Beahan,7248,5470
Brandon Donnelly DVM,7196,9081
Elzie Koelpin,2443,8897
Palmer Paucek-Schroeder,6779,3302
Wilson Simonis,5304,9192
Daquan Hoeger Sr.,8161,6990
Dr. Giovanni Shanahan MD,3061,3457
Chantal Romaguera DVM,1743,6682
Coleen Kuhn,9153,6064
Andreas Yundt,706,1431
Dr. Wiley Schamberger,6494,154
Waldemar Mueller-VonRueden,1896,4787
Hector Lynch,295,3848
Cherrelle Windler,1420,5311
Maurine Mraz,2935,1479
Yamilex Kuphal,7070,3693
Dr. Orrin Cronin PhD,4813,8324
Analia Reilly,7220,9678
Sherree Sipes,5535,6331
Gustaf Sauer,989,1332
Gary Pfannerstill IV,6918,9300
Grayce Erdman,2457,753
Blake Dibbert,5182,9218
Sloane Aufderhar-Dietrich,7496,5721
Claus Strosin,6032,1767
Ronal Lindgren Jr.,8847,3569
Oakley Kohler PhD,2966,6926
Norma Kshlerin,4237,5370
Allyn Lowe V,9431,9414
Ms. Shania Lueilwitz DVM,8894,3712
Orpha Leffler,8655,6835
Dixon Terry,8926,388
Miss Chynna Barton PhD,2916,866
Loney Kerluke,566,4057
Glendora Fritsch,1365,2185
Gaylene Volkman,2347,4880
Etha Donnelly,6583,616
Lorine Beer-Crist,4242,2710
Arly Sporer,677,2693
